日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2025/12/17,1,2200米,好地,1,4,禾道威(J463),布文,大衛希斯,133,1195,4,2:16.82,出閘僅屬一般，向內斜跑及與「皇金風速」互相觸碰。賽後須抽取樣本檢驗。
2025/12/17,1,2200米,好地,2,1,幸運同行(J331),麥道朗,蔡約翰,135,1020,5,2:16.90,出閘僅屬一般。接近二百米處時被「禾道威」略為帶向外跑之際受妨礙，當時「禾道威」在被「步風雷」略為帶向外跑後向外斜跑。賽後須抽取樣本檢驗。
2025/12/17,1,2200米,好地,3,2,步風雷(J452),潘頓,伍鵬志,135,1051,11,2:16.92,接近六百米處時被「堅多福」碰撞及帶出較外疊，其後在沒有遮擋下走外疊。接近四百五十米處時於「堅多福」繼續在「華美之威」外側保持位置之際再次與「堅多福」互相觸碰。賽後須抽取樣本檢驗。
2025/12/17,1,2200米,好地,4,12,皮具大師(H034),杜苑欣,文家良,121,1143,6,2:16.94,無特別報告。
2025/12/17,1,2200米,好地,5,11,永勝金駒(H471),周俊樂,丁冠豪,121,1064,8,2:16.96,自外檔出閘笨拙，於早段在馬群之後切入。接近二百五十米處時在「幸運同行」與「禾道威」之間未能望空之際移至「禾道威」內側。
2025/12/17,1,2200米,好地,6,10,香港精神(D241),田泰安,葉楚航,124,1056,10,2:17.12,出閘笨拙，其後與略為向外斜跑的「華美之威」互相觸碰。
2025/12/17,1,2200米,好地,7,8,華美之威(J193),鍾易禮,告東尼,125,1059,9,2:17.65,起步時略為向外斜跑及被碰撞。
2025/12/17,1,2200米,好地,8,5,夢照發(H168),艾道拿,黎昭昇,132,1132,1,2:17.91,接近三百五十米處時在「皮具大師」內側緊迫競跑之際收慢。趨近三百米處時在「皮具大師」向內斜跑之際再次收慢避開該駒。
2025/12/17,1,2200米,好地,9,7,皇金風速(E448),希威森,蘇偉賢,127,1046,3,2:18.07,起步時發生碰撞。
2025/12/17,1,2200米,好地,10,3,堅多福(K306),潘大衛,方嘉柏,134,1222,2,2:18.22,接近六百米處時移至「華美之威」外側以開始上前，因而與「步風雷」互相觸碰。接近四百五十米處時發生碰撞。潘大衛報告，坐騎於早段及中段沿途過於搶口，不願穩定走勢。他說，因此坐騎未能應付是賽的二千二百米途程。練馬師方嘉柏同意潘大衛的觀點，並表示他將考慮讓此駒下仗縮程角逐。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2025/12/17,1,2200米,好地,11,6,盈利寶馬(J326),金誠剛,鄭俊偉,129,1087,7,2:18.43,趨近千六米處時在被「宇宙之光」帶向外跑之際受阻礙。練馬師鄭俊偉確認，他指示騎師金誠剛讓此駒於早段留後競跑。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2025/12/17,1,2200米,好地,12,9,宇宙之光(J379),奧爾民,徐雨石,124,1051,12,2:19.20,自大外檔出閘後於早段在馬群之後切入。趨近千六米處時搶口，在收慢避開「香港精神」之際向外斜跑。自九百米處起開始上前後在沒有遮擋下走外疊。練馬師徐雨石確認，他指示騎師奧爾民讓此駒自大外檔出閘後於早段留後競跑，因為此駒曾於居前競跑下交出令人失望的表現。他又說，他指示奧爾民在情況許可下可選擇讓此駒於中段發力上前。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
