日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/07/15,1,1650米,好地,1,3,川河型駒(J080),莫雷拉,游達榮,133,1095,2,1:40.05,接近千一米處時在搶口之際收慢避開「勇者無敵」。賽後須抽取樣本檢驗。
2026/07/15,1,1650米,好地,2,11,電訊驕陽(J332),蔡明紹,徐雨石,126,1061,8,1:40.13,躍出時向外斜跑，與「悠悠乾坤」互相觸碰。跑離千三米處時在收慢避開「架勢奇爸」之際昂首。三百米處至二百米處之間在移至「川河型駒」外側之際難以望空。賽後須抽取樣本檢驗。
2026/07/15,1,1650米,好地,3,10,幸運福星(K073),梁家俊,巫偉傑,126,1091,7,1:40.17,賽後須抽取樣本檢驗。
2026/07/15,1,1650米,好地,4,12,勁爽(J003),楊明綸,丁冠豪,118,1133,11,1:40.44,無特別報告。
2026/07/15,1,1650米,好地,5,9,架勢奇爸(G312),布文,告東尼,127,1160,1,1:40.79,無特別報告。
2026/07/15,1,1650米,好地,6,2,勇者無敵(K217),田泰安,韋達,133,1106,3,1:41.05,接近千一米處時在搶口之際收慢避開「幸運福星」。
2026/07/15,1,1650米,好地,7,5,駟跑得(G095),霍宏聲,廖康銘,133,1188,12,1:41.10,自大外檔出閘後於早段在馬群之後切入。趨近千四米處時在被「摘星聲升」帶出較外疊之際受阻礙。
2026/07/15,1,1650米,好地,8,8,悠悠乾坤(K059),希威森,桂福特,130,1049,9,1:41.10,躍出時在發生碰撞之際失去平衡。希威森表示，賽前部署是讓坐騎佔取中間位置。他說，他須讓自外檔出閘的坐騎居於較部署稍後的位置以確保坐騎取得遮擋。
2026/07/15,1,1650米,好地,9,6,極速滿貫(G277),艾兆禮,黎昭昇,133,1049,6,1:41.81,艾兆禮表示，賽事中段步速較標準時間為慢，他開始讓坐騎上前，導致坐騎自一千米處起在沒有遮擋下走外疊。他說，坐騎因而在直路上衝刺僅屬一般。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/15,1,1650米,好地,10,1,摘星聲升(K390),金誠剛,鄭俊偉,135,1136,10,1:41.86,自外檔出閘後於早段在馬群之後切入。早段搶口。趨近千四米處時在勒避「極速滿貫」之際向外斜跑。中段持續搶口，接近千一米處時收慢避開「悠悠乾坤」。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/15,1,1650米,好地,11,4,多利神駒(G292),巴度,蘇偉賢,133,1041,4,1:42.87,跑離千三米處時開始搶口及收慢避開「怪獸波士」。中段持續搶口，接近千一米處時在收慢避開「怪獸波士」之際昂首。巴度未能就坐騎在直路上未能追前提供解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/15,1,1650米,好地,12,7,怪獸波士(L139),潘頓,文家良,133,1032,5,1:44.11,潘頓表示，坐騎不願在馬匹之間競跑，這是他能為坐騎令人失望的表現提供的唯一理由。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。包尾大敗而回，小組認為此駒的表現難以接受。「怪獸波士」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026/07/15,2,1200米,好地,1,10,星威心得(L074),金誠剛,大衛希斯,120,1021,4,1:09.29,被查詢有關此駒的進步表現時，代表大衛希斯的黃志雄表示，他認為儘管跑道的場地掛牌仍為「好地」，但場地受賽事開始時的天雨影響而有點鬆軟，有利此駒發揮。賽後須抽取樣本檢驗。
2026/07/15,2,1200米,好地,2,9,天下寵兒(J359),艾兆禮,廖康銘,121,1118,5,1:09.57,跑離八百米處時向外斜跑，與「精益大師」互相觸碰。賽後須抽取樣本檢驗。
2026/07/15,2,1200米,好地,3,4,團結戰靈(K132),田泰安,桂福特,127,1056,3,1:09.57,無特別報告。
2026/07/15,2,1200米,好地,4,2,紅錢到(J116),霍宏聲,呂健威,131,1188,8,1:09.60,無特別報告。
2026/07/15,2,1200米,好地,5,8,金駒永騰(J398),黃智弘,伍鵬志,119,1202,6,1:09.83,起步後不久與「紅愛舍」雙雙斜跑，因而與該駒互相觸碰。黃智弘表示，他賽前打算讓坐騎佔取前列位置。他說，坐騎於起步後不久受阻礙，其後於早段未能展現足夠前速以佔取更為靠前的位置。
