日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/04/19,9,1400米,好地至快地,1,1,首飾天空(K032),布文,蔡約翰,135,1118,5,1:20.92,起步後不久在發生碰撞之際失去平衡。跑離九百米處時搶口，收慢避開「友瑩亮」。賽後須抽取樣本檢驗。
2026/04/19,9,1400米,好地至快地,2,3,大眾福星(K172),莫雷拉,羅富全,130,1091,7,1:21.09,四百米處至三百五十米處之間受困而未能望空。賽後須抽取樣本檢驗。
2026/04/19,9,1400米,好地至快地,3,8,超輕鬆(L148),周俊樂,姚本輝,122,1108,6,1:21.12,接近一百米處時向外斜跑，導致周俊樂須停止催策及修正坐騎。
2026/04/19,9,1400米,好地至快地,4,9,臻至辰(K238),奧爾民,蘇偉賢,123,1074,2,1:21.21,出閘笨拙及觸碰閘廂左側。四百米處至三百米處之間難以望空。
2026/04/19,9,1400米,好地至快地,5,11,和光同塵(L076),蔡明紹,巫偉傑,119,1047,1,1:21.24,無特別報告。
2026/04/19,9,1400米,好地至快地,6,4,友瑩亮(K400),潘頓,伍鵬志,129,1127,9,1:21.28,儘管於早段受催策，仍未能展現足夠前速以佔取更為靠前的位置。過了一千米處後搶口，其後在一段途程上收慢避開「超輕鬆」。接近二百五十米處時在被「大眾福星」帶出較外疊之際受阻礙。趨近一百米處時在略為向內斜跑的「首飾天空」與「大眾福星」之間受擠迫之際收慢，當時「大眾福星」在「超輕鬆」向外斜跑之際向外移出以避開該駒。賽後須抽取樣本檢驗。
2026/04/19,9,1400米,好地至快地,7,6,奇異果(K285),田泰安,桂福特,125,1130,3,1:21.57,起步時發生碰撞。
2026/04/19,9,1400米,好地至快地,8,10,星願無限(L267),艾兆禮,沈集成,121,1026,11,1:21.59,自外檔起步時向外斜跑，與「魅力奔騰」互相觸碰，早段在馬群之後切入。
2026/04/19,9,1400米,好地至快地,9,12,手到齊來(J531),黃寶妮,徐雨石,110,1246,4,1:21.92,躍出時觸碰閘廂右側，其後與「奇異果」互相碰撞，向外斜跑，繼而與「首飾天空」互相觸碰。<20/4/2026獸醫報告增補> 主任獸醫（賽事管制）報告，「手到齊來」於賽後翌晨左前腿不良於行。「手到齊來」必須通過獸醫檢驗後，才可再次出賽。
2026/04/19,9,1400米,好地至快地,10,2,魅力奔騰(K426),艾道拿,游達榮,133,1104,12,1:22.04,自大外檔躍出時發生碰撞，早段在馬群之後切入。
2026/04/19,9,1400米,好地至快地,11,5,黃金大亨(L135),鍾易禮,告東尼,125,1085,8,1:22.17,接近二百五十米處時在略為向內斜跑的「首飾天空」與「友瑩亮」之間受擠迫之際收慢，當時「友瑩亮」在被「大眾福星」帶向外跑後向外移出以避開該駒。大部分途程在沒有遮擋下走外疊。
2026/04/19,9,1400米,好地至快地,12,7,開心三寶(K511),霍宏聲,呂健威,125,1128,10,1:22.33,霍宏聲表示，坐騎出閘僅屬一般，因而居於較賽前部署為後的位置。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/04/19,10,1200米,好地至快地,1,5,手機錶勁(L099),潘頓,呂健威,122,1125,6,1:08.50,賽後須抽取樣本檢驗。
2026/04/19,10,1200米,好地至快地,2,7,千杯不醉(K365),希威森,廖康銘,121,1036,2,1:08.68,練馬師廖康銘確認，賽前部署是讓此駒領放，但此駒於早段未能展現足夠前速以做到這點。賽後須抽取樣本檢驗。
2026/04/19,10,1200米,好地至快地,3,3,嘉應奇兵(J391),潘明輝,賀賢,133,1105,4,1:08.70,賽後被發現左邊鼻孔有血。其後接受內窺鏡檢查，發現此駒的氣管內沒有血，因此鼻孔內的血液獲確定並非源自肺部，故此駒不被視為流鼻血。
2026/04/19,10,1200米,好地至快地,4,11,星火燎原(J150),巫顯東,徐雨石,116,1167,1,1:08.94,接近一百米處時在向外斜跑避開同樣向外斜跑的「千杯不醉」之際受阻礙。
2026/04/19,10,1200米,好地至快地,5,9,新力好(J118),班德禮,蘇偉賢,120,1174,5,1:09.11,出閘僅屬一般。接近八百米處時一度受擠迫。
2026/04/19,10,1200米,好地至快地,6,2,綠野飛馳(K245),艾道拿,蔡約翰,134,1127,12,1:09.13,被查詢時，艾道拿表示，他獲指示讓坐騎上前，但盡可能嘗試為坐騎尋找遮擋。他說，坐騎自大外檔出閘迅速，其後他須在沒有機會為坐騎取得遮擋下讓牠持續上前超越「正極」及「嘉應奇兵」，以免走外疊。他說，首次佩戴眼罩上陣的坐騎於接近九百米處時居於「手機錶勁」外側，其後開始搶口，因而領先「手機錶勁」約半個馬位。他又說，儘管他留意到坐騎正以較標準時間為快的步速競跑，但由於坐騎的走勢，他未能讓坐騎以可持續更久的步速競跑。他續說，坐騎在直路上受催策時內閃，難以被力策。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。賽後須抽取樣本檢驗。
2026/04/19,10,1200米,好地至快地,7,1,南區之星(K153),周俊樂,羅富全,133,1024,10,1:09.31,轉直路彎時受困。賽後被發現流鼻血。由於這已是「南區之星」第二次流鼻血，此駒日後將無資格在馬會舉行的任何賽事中出賽。
2026/04/19,10,1200米,好地至快地,8,10,官金騏(K485),艾兆禮,文家良,119,1136,7,1:09.35,接近八百米處時一度在「星火燎原」與向內斜跑的「正極」之間受擠迫。艾兆禮表示，坐騎是日作休後首仗，應能從今仗中提升狀態。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/04/19,10,1200米,好地至快地,9,4,有備而戰(L095),楊明綸,黎昭昇,122,1205,11,1:09.40,自外檔出閘笨拙，早段在馬群之後切入。
2026/04/19,10,1200米,好地至快地,10,6,小磁怪(K549),田泰安,巫偉傑,121,1249,3,1:09.45,出閘僅屬一般。接近八百米處時在「新力好」內側緊迫競跑。
2026/04/19,10,1200米,好地至快地,11,8,正極(K367),黃智弘,沈集成,117,1141,8,1:09.60,大部分途程在沒有遮擋下走外疊。
2026/04/19,10,1200米,好地至快地,12,12,抱百嶺(K519),鍾易禮,葉楚航,115,1010,9,1:09.82,出閘笨拙及失地。
