日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/05/06,1,1650米,好地,1,9,大利好運(H234),布文,蔡約翰,128,1101,2,1:40.31,賽後須抽取樣本檢驗。
2026/05/06,1,1650米,好地,2,13,東方魅影(K028),黃寶妮,大衛希斯,111,1059,13,1:40.51,賽後須抽取樣本檢驗。
2026/05/06,1,1650米,好地,3,11,上市魅力(H196),田泰安,蘇偉賢,121,1120,4,1:40.52,賽後須抽取樣本檢驗。
2026/05/06,1,1650米,好地,4,1,光輝歲月(J508),霍宏聲,游達榮,135,1121,7,1:40.60,起步後不久在「幻影旋風」與略為向外斜跑的「君智盛」之間一度受擠迫之際受阻礙。
2026/05/06,1,1650米,好地,5,10,一鹿歡騰(J002),鍾易禮,告東尼,123,1099,1,1:40.71,跑過二百五十米處時移至「東方魅影」內側，在跑了一段短途程後於「東方魅影」略為向內斜跑時未能佔取該空位之際收慢。
2026/05/06,1,1650米,好地,6,4,十力(K200),奧爾民,伍鵬志,131,1127,3,1:41.01,出閘僅屬一般。
2026/05/06,1,1650米,好地,7,6,幸運傳承(J338),莫雷拉,方嘉柏,130,1065,12,1:41.65,自外檔出閘後於早段在馬群之後切入。早段搶口，跑離千四米處時在一段途程上收慢避開「幻影旋風」的後蹄。中段沿途持續搶口，接近七百米處時收慢避開「光輝歲月」的後蹄，因而向外斜跑及與「閃耀威龍」互相觸碰。
2026/05/06,1,1650米,好地,8,14,樂矚心機(J453),楊明綸,鄭俊偉,115,1099,14,1:41.95,無特別報告。
2026/05/06,1,1650米,好地,9,12,幻影旋風(J271),巴度,丁冠豪,119,1093,8,1:42.20,趨近四百米處時在緊貼「閃耀威龍」的後蹄處於窘境之際收慢，因而向外移出。
2026/05/06,1,1650米,好地,10,7,歷險大將(J344),布浩榮,徐雨石,129,1047,9,1:43.01,賽後立即接受獸醫檢查，內窺鏡檢查顯示此駒的氣管內有很多血。「歷險大將」必須通過獸醫檢驗後，才可再次出賽。
2026/05/06,1,1650米,好地,11,8,運來勇士(H229),黃智弘,葉楚航,126,1115,5,1:43.05,黃智弘報告，坐騎於早段取得領先，其後跑來搶口，因而在直路上未能以勁勢衝刺。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/05/06,1,1650米,好地,12,5,閃耀威龍(G427),袁幸堯,文家良,121,1101,10,1:43.55,接近千五米處時收慢避開「歡樂老撾」的後蹄，當時「歡樂老撾」被「東方魅影」（見習騎師黃寶妮）帶向內跑。小組告誡見習騎師黃寶妮須加倍小心。接近七百米處時發生碰撞。見習騎師袁幸堯表示，策騎指示是讓坐騎上前，然而儘管她於早段催策坐騎以佔取前列位置，但坐騎未能展現足夠前速以做到這點，因而居於較部署為後的位置。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。「閃耀威龍」在近仗中第二次大敗而回，小組認為此駒的表現難以接受。「閃耀威龍」必須連續多次試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026/05/06,1,1650米,好地,13,3,歡樂老撾(H432),艾兆禮,桂福特,131,1035,11,1:44.30,大部分途程在沒有遮擋下走外疊。「歡樂老撾」大敗而回，小組認為此駒的表現難以接受。「歡樂老撾」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。賽後被發現右前蹄的蹄鐵移位。
2026/05/06,1,1650米,好地,14,2,君智盛(J213),潘頓,姚本輝,134,1128,6,1:51.77,起步後不久略為向外斜跑，與「光輝歲月」互相觸碰。跑離千四米處時在「歡樂老撾」與略為向外斜跑的「大利好運」之間的窄位競跑之際一度受緊迫。潘頓表示，雖然坐騎於早段及中段沿途走勢良佳，但他於接近五百米處時擔心坐騎或有不妥，遂選擇收慢坐騎。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。「君智盛」包尾大敗而回，小組認為此駒的表現難以接受。「君智盛」必須試閘及格，並且通過必須包括額外診斷評估的獸醫檢驗後，才可再次出賽。
2026/05/06,2,1200米,好地,1,9,機械騎士(H464),黃寶妮,文家良,121,1098,3,1:10.90,賽後須抽取樣本檢驗。
2026/05/06,2,1200米,好地,2,10,爆熱(G368),艾兆禮,告東尼,126,1087,6,1:10.95,賽後須抽取樣本檢驗。
