日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/01/28,2,1650米,好地至快地,1,4,同得威(J019),潘頓,沈集成,132,1110,6,1:39.71,中段搶口。接近七百米處時在收慢避開「極速之子」之際向外斜跑及與「富裕君子」互相觸碰。賽後被發現流鼻血。「同得威」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。賽後須抽取樣本檢驗。
2026/01/28,2,1650米,好地至快地,2,11,極速之子(H332),巴度,姚本輝,117,1086,5,1:39.74,自九百米處起開始上前，其後在沒有遮擋下走外疊。賽後須抽取樣本檢驗。
2026/01/28,2,1650米,好地至快地,3,2,電訊驕陽(J332),紀仁安,徐雨石,133,1072,2,1:39.79,直路彎受困而未能望空。
2026/01/28,2,1650米,好地至快地,4,9,華美之威(J193),艾道拿,告東尼,123,1056,8,1:39.88,無特別報告。
2026/01/28,2,1650米,好地至快地,5,5,富裕君子(H447),霍宏聲,方嘉柏,129,1001,7,1:39.91,「同得威」於趨近七百米處時進佔「極速之子」之後的第三疊位置。「同得威」於跑了一段短途程後收慢避開「極速之子」之際向外斜跑及與此駒互相觸碰，導致此駒被帶出更外疊。
2026/01/28,2,1650米,好地至快地,6,12,武林至尊(H027),班德禮,黎昭昇,115,1104,10,1:40.00,自外檔出閘後於早段在馬群之後切入。跑過千五米處時推進至向內移入的「富裕君子」內側，因而收慢避開該駒。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/01/28,2,1650米,好地至快地,7,1,幸運福星(K073),潘明輝,巫偉傑,135,1083,3,1:40.12,潘明輝表示，賽前打算讓坐騎領放。他說，坐騎出閘僅屬一般，其後被向內斜跑的「飛躍凱旋」大力碰撞。坐騎因而居於較賽前部署為後的位置。
2026/01/28,2,1650米,好地至快地,8,10,勁爽(J003),楊明綸,丁冠豪,120,1145,9,1:40.13,無特別報告。
2026/01/28,2,1650米,好地至快地,9,3,荃程路通(E403),蔡明紹,文家良,133,1066,1,1:40.15,三百米處至一百米處之間難以望空。
2026/01/28,2,1650米,好地至快地,10,6,神駒馬靈(J162),何澤堯,伍鵬志,129,1125,12,1:40.22,自大外檔出閘後於早段在馬群之後切入。
2026/01/28,2,1650米,好地至快地,11,7,拚搏(K024),奧爾民,賀賢,127,1128,11,1:40.42,自外檔出閘後於早段在馬群之後切入。
