日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/07/08,1,1000米,好地,1,3,萬眾開心(H208),潘頓,黎昭昇,134,1193,1,0:56.67,賽後須抽取樣本檢驗。
2026/07/08,1,1000米,好地,2,1,鄉村樂韻(H436),艾兆禮,蔡約翰,135,1170,9,0:56.81,賽後須抽取樣本檢驗。
2026/07/08,1,1000米,好地,3,5,洛河(J308),霍宏聲,丁冠豪,132,1186,7,0:57.00,無特別報告。
2026/07/08,1,1000米,好地,4,6,飛雲(H320),莫雷拉,方嘉柏,131,1075,10,0:57.17,無特別報告。
2026/07/08,1,1000米,好地,5,2,喆喆友福(J345),布文,沈集成,134,1082,8,0:57.18,無特別報告。
2026/07/08,1,1000米,好地,6,10,辣得金(J087),何澤堯,巫偉傑,129,1106,6,0:57.24,小組考慮了騎師何澤堯基於坐騎未獲公平出閘而提出將坐騎宣佈為無出賽馬匹的申請。小組聽取了何澤堯、練馬師巫偉傑及司閘員施百厲的證供後，小組發現此駒在開閘時衝前，其後以後足豎立，因而失地。由於小組認為該等情況於開閘時同時發生，因此宣佈此駒為出賽馬匹。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,1,1000米,好地,7,8,千杯(J482),鍾易禮,告東尼,128,1070,2,0:57.31,起步後不久向外斜跑，與「天火同德」互相觸碰。接近五百五十米處時收慢避開在尚未帶離下向內斜跑的「喆喆友福」（布文）。小組譴責布文。
2026/07/08,1,1000米,好地,8,12,天火同德(J441),田泰安,韋達,115,1173,3,0:57.41,起步後不久在受向外斜跑的「千杯」擠迫之際受阻礙。田泰安說，坐騎早段在領放馬之後佔取有利位置，但在直路上對催策毫無反應，他未能就坐騎令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,1,1000米,好地,9,11,八里旺(J243),周俊樂,鄭俊偉,126,1260,5,0:57.43,出閘僅屬一般。起步後不久在「洛河」與被帶向外跑的「喜行」之間受擠迫之際收慢。
2026/07/08,1,1000米,好地,10,7,喜行(K399),楊明綸,大衛希斯,131,1114,4,0:57.57,起步後不久在被「天火同德」大力碰撞之際失去平衡，當時「天火同德」被帶向外跑。跑離六百米處首次轉彎時，在「辣得金」內側競跑之際失去平衡。
2026/07/08,1,1000米,好地,11,9,飛越晨曦(K483),梁家俊,伍鵬志,129,1144,11,0:57.58,出閘僅屬一般。
2026/07/08,1,1000米,好地,,4,運籌帷幄(K090),希威森,桂福特,132,---,---,---,七月七日被小組按照獸醫意見（左前腿受傷）著令退出。「運籌帷幄」必須通過獸醫檢驗後，才可再次出賽。
2026/07/08,2,1650米,好地,1,1,暴風之子(K176),黃寶妮,徐雨石,128,1139,7,1:39.83,賽後須抽取樣本檢驗。
2026/07/08,2,1650米,好地,2,6,贏玥(L039),潘頓,巫偉傑,130,1167,12,1:39.90,賽後須抽取樣本檢驗。
2026/07/08,2,1650米,好地,3,8,越駿聯歡(L202),巴度,黎昭昇,123,1120,2,1:39.95,無特別報告。
2026/07/08,2,1650米,好地,4,4,領航天子(J494),布文,廖康銘,133,974,4,1:40.13,自一千米處起在沒有遮擋下走外疊。接近五百米處時在「森林之王」向外移出推進之際收慢避開該駒。
2026/07/08,2,1650米,好地,5,7,蹺妙(L031),周俊樂,游達榮,125,1094,10,1:40.13,起步後不久在與「精巧時計」互相觸碰之際失去平衡。
2026/07/08,2,1650米,好地,6,5,驍將(K567),鍾易禮,告東尼,128,1071,6,1:40.16,跑過一百米處時移至「怪獸波士」及「越駿聯歡」外側以繼續望空，趨近終點時與「森林之王」互相觸碰。
2026/07/08,2,1650米,好地,7,12,怪獸波士(L139),蔡明紹,文家良,116,1027,11,1:40.19,無特別報告。
2026/07/08,2,1650米,好地,8,10,森林之王(K265),艾兆禮,羅富全,120,1103,8,1:40.24,趨近終點時發生碰撞。
2026/07/08,2,1650米,好地,9,2,川河帥駒(K127),莫雷拉,方嘉柏,135,1207,1,1:40.62,莫雷拉未能就坐騎在直路上未能以勁勢衝刺提供任何解釋。練馬師方嘉柏告知小組，此駒於是賽前的表現令他滿意，他未能就此駒的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。賽後須抽取樣本檢驗。
2026/07/08,2,1650米,好地,10,9,得意佳作(G125),潘明輝,姚本輝,121,1096,3,1:41.00,潘明輝報告，坐騎未能適應賽事早段步速較標準時間快，因而在直路上衝刺乏力。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,2,1650米,好地,11,11,萬里鵬躍(L009),楊明綸,蘇偉賢,116,1197,5,1:42.48,出閘僅屬一般。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,2,1650米,好地,12,3,精巧時計(L042),奧爾民,賀賢,135,1064,9,1:42.74,起步後不久在「蹺妙」與向外斜跑的「森林之王」之間受擠迫之際收慢。中段搶口，趨近七百米處時收慢避開「萬里鵬躍」。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,3,1000米,好地,1,11,福進(K529),莫雷拉,方嘉柏,120,1187,8,0:56.81,出閘緩慢。跑離三百米處時向內斜跑，與「鴻圖新星」發生碰撞。過了二百五十米處後被「鴻圖新星」碰撞。賽後須抽取樣本檢驗。
2026/07/08,3,1000米,好地,2,4,美麗登場(L260),潘頓,羅富全,127,1194,9,0:56.91,接近三百米處時內閃，導致潘頓須修正坐騎及改以右手握鞭。賽後須抽取樣本檢驗。
2026/07/08,3,1000米,好地,3,8,天火同人(E175),黃寶妮,韋達,117,1116,7,0:57.03,無特別報告。
2026/07/08,3,1000米,好地,4,1,鴻圖新星(J323),艾道拿,蔡約翰,133,1082,6,0:57.19,跑離三百米處時被略為向內斜跑的「福進」碰撞。跑離二百五十米處時在「福進」與向外斜跑的「天火同人」（見習騎師黃寶妮）之間受擠迫。小組嚴厲譴責見習騎師黃寶妮。在此宗事件中向外斜跑，與「福進」互相觸碰。
2026/07/08,3,1000米,好地,5,12,馬運高(L175),田泰安,文家良,120,1202,10,0:57.37,大部分途程在沒有遮擋下走外疊。
2026/07/08,3,1000米,好地,6,9,杰遜仔(L036),巴度,黎昭昇,124,1046,12,0:57.62,自大外檔出閘僅屬一般，早段在馬群之後切入。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,3,1000米,好地,7,2,團結巴打(L150),梁家俊,桂福特,131,990,4,0:57.64,趨近九百米處時向外斜跑，與「幸運二十」互相觸碰。
2026/07/08,3,1000米,好地,8,6,贏得自在(L349),蔡明紹,葉楚航,126,1021,11,0:57.65,出閘僅屬一般。
2026/07/08,3,1000米,好地,9,3,巨靈神(L169),巫顯東,徐雨石,127,1145,1,0:57.71,賽後被發現失去左前蹄的蹄鐵。
2026/07/08,3,1000米,好地,10,10,飛來霸(K284),艾兆禮,賀賢,123,1073,2,0:57.78,賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,3,1000米,好地,11,5,乾坤圈(L385),楊明綸,鄭俊偉,126,1079,3,0:58.43,無特別報告。
2026/07/08,3,1000米,好地,12,7,幸運二十(K392),奧爾民,丁冠豪,125,1035,5,0:58.56,趨近九百米處時在雙雙斜跑的「鴻圖新星」與「團結巴打」之間緊迫競跑。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/07/08,4,1650米,好地,1,1,哥倫布(K355),莫雷拉,方嘉柏,133,1107,1,1:39.33,
2026/07/08,4,1650米,好地,2,7,焦點(H173),潘明輝,游達榮,119,1060,3,1:39.82,
2026/07/08,4,1650米,好地,3,6,準希望(L047),巴度,大衛希斯,121,1069,8,1:39.95,
2026/07/08,4,1650米,好地,4,5,好運年(K443),艾兆禮,葉楚航,126,1073,2,1:40.00,
2026/07/08,4,1650米,好地,5,2,紅海勁(H207),何澤堯,文家良,133,1138,5,1:40.72,
2026/07/08,4,1650米,好地,6,4,追風(J227),潘頓,羅富全,127,1133,7,1:40.77,
2026/07/08,4,1650米,好地,7,3,巴閉仔(H298),周俊樂,徐雨石,127,1051,6,1:41.36,
2026/07/08,4,1650米,好地,8,8,八心之星(K536),希威森,韋達,119,1109,4,1:41.56,
2026/07/08,5,1200米,好地,1,9,至合拍(J253),周俊樂,沈集成,122,1048,1,1:10.11,
2026/07/08,5,1200米,好地,2,2,路路勁(K315),田泰安,羅富全,134,1143,7,1:10.23,
2026/07/08,5,1200米,好地,3,12,頑童(L144),楊明綸,鄭俊偉,119,1126,5,1:10.25,
2026/07/08,5,1200米,好地,4,1,馬馳登(L133),奧爾民,黎昭昇,135,1180,10,1:10.43,
2026/07/08,5,1200米,好地,5,6,勝多多(H407),潘頓,韋達,127,1083,6,1:10.46,
2026/07/08,5,1200米,好地,6,3,巴閉王(K479),布文,呂健威,134,1022,9,1:10.51,
2026/07/08,5,1200米,好地,7,8,閃電奇駿(L362),巴度,徐雨石,124,1049,11,1:10.59,
2026/07/08,5,1200米,好地,8,4,寶成智好(K301),鍾易禮,告東尼,129,1113,8,1:10.65,
2026/07/08,5,1200米,好地,9,7,奇異歡星(K255),希威森,桂福特,126,1099,12,1:10.72,
2026/07/08,5,1200米,好地,10,10,祥勝力駒(J181),艾兆禮,廖康銘,122,1106,4,1:10.85,
2026/07/08,5,1200米,好地,11,5,電子紅心(K497),霍宏聲,蘇偉賢,128,1087,3,1:11.04,
2026/07/08,5,1200米,好地,12,11,川河石駒(K548),莫雷拉,方嘉柏,122,1076,2,1:12.82,
2026/07/08,6,1200米,好地,1,4,驕陽雄心(K553),潘頓,沈集成,133,1033,3,1:09.89,
2026/07/08,6,1200米,好地,2,3,博愛先鋒(G465),巴度,巫偉傑,133,1046,2,1:10.00,
2026/07/08,6,1200米,好地,3,2,競駿非凡(J401),霍宏聲,韋達,135,1133,12,1:10.04,
2026/07/08,6,1200米,好地,4,1,朗日自強(J530),梁家俊,文家良,135,1286,7,1:10.22,
2026/07/08,6,1200米,好地,5,9,雷神太保(K017),奧爾民,黎昭昇,127,1083,1,1:10.30,
2026/07/08,6,1200米,好地,6,11,友得盈(K106),巫顯東,丁冠豪,117,1146,9,1:10.36,
2026/07/08,6,1200米,好地,7,7,快搏(E434),布文,賀賢,131,1122,5,1:10.43,
2026/07/08,6,1200米,好地,8,8,彩虹七色(K145),周俊樂,呂健威,129,1061,11,1:10.55,
2026/07/08,6,1200米,好地,9,6,維港激流(J393),何澤堯,伍鵬志,132,1056,10,1:10.63,
2026/07/08,6,1200米,好地,10,5,銳目(L068),艾道拿,大衛希斯,133,1046,6,1:10.65,
2026/07/08,6,1200米,好地,11,12,首駿(K189),希威森,游達榮,119,1137,8,1:11.10,
2026/07/08,6,1200米,好地,12,10,豪邁先登(L180),田泰安,葉楚航,123,1015,4,1:11.45,
