日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/06/21,1,1000米,好地,1,5,極速神影(L204),袁幸堯,姚本輝,118,1065,2,0:56.24,最後二百米外閃，難以被力策至終點。賽後須抽取樣本檢驗。
2026/06/21,1,1000米,好地,2,7,致力之城(L210),艾道拿,大衛希斯,127,1058,6,0:56.33,起步後不久向內斜跑，在被艾道拿修正之際與「凱旋王者」互相觸碰。最後二百米外閃。賽後須抽取樣本檢驗。
2026/06/21,1,1000米,好地,3,9,紅海旺(L098),黃寶妮,文家良,119,1087,14,0:56.49,起步後不久與「閃電奇駿」雙雙斜跑，因而與該駒互相觸碰。接近五百米處時在受「將傲」擠迫之際收慢，當時「將傲」向外斜跑避開「致力之城」（艾道拿），而「致力之城」則向外斜跑，繼而被騎師修正。小組告誡艾道拿須加倍小心。過了二百米處後收慢，移至「將傲」內側以繼續望空。
2026/06/21,1,1000米,好地,4,8,將傲(L277),潘頓,韋達,126,1092,10,0:56.51,無特別報告。
2026/06/21,1,1000米,好地,5,12,凱旋王者(K240),梁家俊,羅富全,123,1142,5,0:56.53,躍出時在「大丞相」與「致力之城」之間受擠迫之際失去平衡，當時儘管騎師已努力阻止，但「致力之城」仍向內斜跑。
2026/06/21,1,1000米,好地,6,10,閃電奇駿(L362),巫顯東,徐雨石,124,1053,13,0:56.79,出閘僅屬一般，其後不久與「紅海旺」雙雙斜跑，因而與該駒互相觸碰。
2026/06/21,1,1000米,好地,7,13,燊輝之星(L067),鍾易禮,告東尼,120,1206,7,0:56.92,無特別報告。
2026/06/21,1,1000米,好地,8,4,大丞相(L218),潘明輝,沈集成,128,1087,4,0:56.93,出閘僅屬一般，其後不久在「凱旋王者」與「觀萬物」之間受擠迫之際收慢，當時「凱旋王者」被「致力之城」帶向內跑，而儘管騎師已努力阻止，但「致力之城」仍向內斜跑。此駒在此宗事件中觸碰「觀萬物」的後軀，因而進一步失地。潘明輝表示，坐騎出閘僅屬一般，其後不久受擠迫，因而居於較策騎指示為後的位置。
2026/06/21,1,1000米,好地,9,3,浩然(L392),楊明綸,丁冠豪,128,1041,8,0:56.95,無特別報告。
2026/06/21,1,1000米,好地,10,2,盈智多寶(L391),布文,廖康銘,128,1070,11,0:57.01,布文表示，首次上陣的坐騎仍欠成熟，應能從今仗中獲益。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/21,1,1000米,好地,11,1,領駿精彩(L344),奧爾民,蘇偉賢,128,1151,1,0:57.04,出閘僅屬一般。
2026/06/21,1,1000米,好地,12,14,觀萬物(K101),巴度,巫偉傑,120,1215,3,0:57.17,起步後不久被碰撞後軀，繼而失去平衡。巴度表示，坐騎下仗將較適合增程回師較長途程角逐。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告。
2026/06/21,1,1000米,好地,13,11,精彩勇將(L275),莫雷拉,方嘉柏,123,1067,9,0:57.35,出閘笨拙，觸碰閘廂右側，因而失地。
2026/06/21,1,1000米,好地,14,6,贏得自在(L349),蔡明紹,葉楚航,128,1023,12,1:01.31,宣佈覆磅完畢前，小組考慮了騎師蔡明紹以此駒未獲公平出閘為理由，提出將此駒宣佈為無出賽馬匹的申請。小組聽取了司閘員施百厲、騎師蔡明紹及練馬師葉楚航的證供後，認為此駒在開閘時以後足豎立，因此失地甚多。由於小組認為司閘員不可能合理預期此駒將以後足豎立，因此宣佈此駒為出賽馬匹。「贏得自在」必須試閘及格後，才可再次出賽。
2026/06/21,2,1400米,好地,1,2,順善寶(K239),莫雷拉,方嘉柏,134,1173,8,1:22.45,賽後須抽取樣本檢驗。
2026/06/21,2,1400米,好地,2,9,東方寶寶(J309),潘頓,姚本輝,127,1093,10,1:22.47,躍出時與「怡昌奇兵」雙雙斜跑，因而與該駒互相觸碰。趨近九百米處賽事步速減慢時開始搶口，在收慢避開「添喜運」之際昂首。中段沿途持續搶口，不願穩定走勢，賽後須抽取樣本檢驗。
2026/06/21,2,1400米,好地,3,12,紅旺繽紛(J255),巴度,韋達,122,1136,1,1:22.48,無特別報告。
2026/06/21,2,1400米,好地,4,11,快樂老撾(J115),梁家俊,巫偉傑,125,1197,4,1:22.49,躍出時在雙雙斜跑的「不勞而獲」與「跑得好快」之間受擠迫。四百米處至三百米處之間難以望空。二百米處至一百米處之間移至「東方寶寶」外側以望空。
2026/06/21,2,1400米,好地,5,1,頌星(K343),艾兆禮,賀賢,135,1042,13,1:22.51,自外檔出閘後於早段在馬群之後切入。
2026/06/21,2,1400米,好地,6,13,添喜運(J218),何澤堯,鄭俊偉,122,1224,6,1:22.76,起步後不久失蹄。何澤堯報告，坐騎於趨近九百米處賽事步速減慢時開始搶口，因而收慢避開「順善寶」。他又說，坐騎其後因而須在沒有遮擋下走外疊。
2026/06/21,2,1400米,好地,7,8,巴閉佬(K323),奧爾民,呂健威,129,1163,2,1:22.85,奧爾民表示，他獲指示讓坐騎佔取較為靠前的位置，但坐騎出閘僅屬一般，於早段未能展現足夠前速以做到這點。
2026/06/21,2,1400米,好地,8,10,輕鬆大少(J319),布浩榮,文家良,126,1008,11,1:22.96,無特別報告。
2026/06/21,2,1400米,好地,9,4,多彩多姿(J312),楊明綸,蘇偉賢,132,1150,7,1:23.15,賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/21,2,1400米,好地,10,6,跑得好快(J020),艾道拿,黎昭昇,131,1185,5,1:23.27,躍出時向內斜跑，與「快樂老撾」互相觸碰。四百米處至三百米處之間難以望空。
2026/06/21,2,1400米,好地,11,7,怡昌奇兵(J176),希威森,桂福特,131,1143,9,1:23.48,躍出時與「東方寶寶」雙雙斜跑，因而與該駒互相觸碰。接近三百五十米處時在一段途程上受困而未能望空。二百五十米處至二百米處之間難以望空。希威森表示，儘管坐騎於直路早段頗為難以望空，末段衝刺僅屬一般。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/21,2,1400米,好地,12,3,眼健康(K455),布文,蔡約翰,133,1081,12,1:23.49,自外檔出閘後於早段在馬群之後切入。二百米處至一百五十米處之間難以望空。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/21,2,1400米,好地,13,14,華美之威(J193),田泰安,告東尼,116,1063,14,1:23.55,早段在沒有遮擋下走外疊。過了九百米處後被「添喜運」帶出更外疊，其後因而在沒有遮擋下走大外疊。
2026/06/21,2,1400米,好地,14,5,不勞而獲(K377),周俊樂,葉楚航,130,1084,3,1:24.64,在配鞍房內滑倒，繼而跌倒，其後接受獸醫檢查，獸醫認為此駒適宜出賽。躍出時向外斜跑，與「快樂老撾」互相觸碰。
2026/06/21,3,1200米,好地,1,1,包裝明將(L013),袁幸堯,姚本輝,125,1117,9,1:08.79,賽後須抽取樣本檢驗。
2026/06/21,3,1200米,好地,2,5,祥勝鷹駒(L341),潘頓,游達榮,127,1113,6,1:08.84,起步後不久發生碰撞。被查詢有關他在直路上的騎法時，潘頓表示，坐騎於早段能夠展現甚快前速以領放。他說，坐騎於進入直路後順其自然地推進，拋離餘駒，帶離一段距離。他說，他於趨近二百米處時擔心坐騎開始未能再增速，因而在持續鼓勵坐騎之際留住牠直至接近二百米處。他又說，他於跑過二百米處後全力催策坐騎，而坐騎也對催策交出反應，但末段不敵頭馬「包裝明將」。小組考慮了潘頓的解釋後，認為他在此情況下採取的競跑策略屬合理。賽後須抽取樣本檢驗。
