日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/06/24,1,2200米,好地,1,3,捷足奔馳(J524),田泰安,姚本輝,133,1117,10,2:16.62,躍出時發生碰撞。自九百米處起開始上前，其後在沒有遮擋下走外疊。接近四百五十米處時向內斜跑，與「美麗多盈」互相觸碰。賽後須抽取樣本檢驗。
2026/06/24,1,2200米,好地,2,4,連連好運(K500),布文,文家良,129,1218,8,2:16.81,賽後須抽取樣本檢驗。
2026/06/24,1,2200米,好地,3,10,龍又生(J269),希威森,呂健威,117,986,6,2:16.81,無特別報告。
2026/06/24,1,2200米,好地,4,8,幸運同行(J331),艾道拿,蔡約翰,124,1017,5,2:17.02,出閘僅屬一般。
2026/06/24,1,2200米,好地,5,5,電訊驕陽(J332),周俊樂,徐雨石,126,1056,2,2:17.28,躍出時在「永勝金駒」與「美麗多盈」之間受擠迫。接近二千米處時受擠迫。
2026/06/24,1,2200米,好地,6,11,永勝金駒(H471),楊明綸,丁冠豪,115,1055,1,2:17.61,出閘笨拙，向外斜跑，與「電訊驕陽」互相觸碰。接近二千米處時，「龍船快」向內斜跑避開「同寶寶」，導致「電訊驕陽」被帶向內跑壓向受擠迫的此駒。
2026/06/24,1,2200米,好地,7,6,始終如一(J392),潘頓,沈集成,127,1109,9,2:17.75,無特別報告。
2026/06/24,1,2200米,好地,8,2,光輝歲月(J508),莫雷拉,游達榮,134,1125,7,2:17.93,莫雷拉表示，他獲指示讓坐騎居於較為靠前的位置，但儘管他已作出努力，坐騎於早段未能展現足夠前速以做到這點。他又說，坐騎在直路上受催策時未能追前。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/24,1,2200米,好地,9,9,美麗多盈(G477),鍾易禮,告東尼,116,1122,3,2:18.20,起步時發生碰撞。接近四百五十米處時發生碰撞。
2026/06/24,1,2200米,好地,10,12,同寶寶(H386),巴度,伍鵬志,118,1101,12,2:18.94,接近七百米處時在一度受「龍船快」擠迫之際收慢，當時「龍船快」向內斜跑，繼而被騎師修正。跑了一段短途程後在「龍船快」被「美麗多盈」略為帶向內跑之際再度收慢。巴度因返回覆磅時超磅三磅，被罰款七千五百元。
2026/06/24,1,2200米,好地,11,7,香港精神(D241),梁家俊,葉楚航,126,1055,11,2:19.37,出閘笨拙，其後不久在被「捷足奔馳」帶向外跑之際收慢避開「同寶寶」。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/24,1,2200米,好地,12,1,龍船快(G229),黃寶妮,桂福特,127,1114,4,2:21.36,接近二千米處時向內斜跑避開「同寶寶」，與「電訊驕陽」互相觸碰。接近千八米處時收慢避開「同寶寶」（巴度），當時「同寶寶」在尚未充分帶離下向內移入。小組告誡巴度，他在轉換跑線時須確保已充分帶離。在沒有遮擋下走外疊直至接近八百米處。「龍船快」包尾大敗而回，小組認為此駒的表現難以接受。「龍船快」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/24,2,1650米,好地,1,9,開心三多(H293),巴度,桂福特,123,1044,2,1:40.45,
2026/06/24,2,1650米,好地,2,11,東方魅影(K028),潘頓,大衛希斯,120,1049,3,1:40.63,
2026/06/24,2,1650米,好地,3,2,鐵甲驌龍(J459),鍾易禮,告東尼,131,1112,11,1:40.70,
