日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/06/27,1,1200米,好地,1,10,綫路光驊(H487),黃寶妮,文家良,116,1193,13,1:09.04,大部分途程在沒有遮擋下走外疊。賽後須抽取樣本檢驗。
2026/06/27,1,1200米,好地,2,4,翠湖烈風(J288),潘頓,賀賢,133,1089,12,1:09.21,接近八百米處時被「金風萬里」帶出較外疊之際受阻礙。賽後須抽取樣本檢驗。
2026/06/27,1,1200米,好地,3,3,果然僥倖(H252),奧爾民,蘇偉賢,133,1085,5,1:09.31,接近八百米處轉彎時一度受「快馬加鞭」擠迫之際昂首，當時「快馬加鞭」向內斜跑，繼而被蔡明紹修正。由於小組認為此駒的走勢是造成此宗事件的主因，因此不採取任何行動。賽後須抽取樣本檢驗。
2026/06/27,1,1200米,好地,4,12,萬事得意(K171),鍾易禮,告東尼,117,1040,9,1:09.43,直路上外閃。
2026/06/27,1,1200米,好地,5,13,快馬加鞭(H144),蔡明紹,巫偉傑,115,1110,7,1:09.44,賽後被發現口內有血。
2026/06/27,1,1200米,好地,6,8,迅意(K250),希威森,韋達,128,1192,3,1:09.46,無特別報告。
2026/06/27,1,1200米,好地,7,6,海王(K523),金誠剛,鄭俊偉,132,1190,10,1:09.46,出閘緩慢。跑離八百米處時收慢避開「翠湖烈風」，當時「翠湖烈風」向內移入以取得遮擋。四百米處至二百五十米處之間在移至外疊以推進之際難以望空。最後二百五十米在催策下內閃。
2026/06/27,1,1200米,好地,8,2,英雄豪邁(G394),巴度,徐雨石,134,1084,1,1:09.47,早段外閃，跑離一千米處時收慢避開在「果然僥倖」（奧爾民）內側緊迫競跑的「迅意」。小組告誡奧爾民須加倍小心。
2026/06/27,1,1200米,好地,9,9,鑽得勝(K216),布文,葉楚航,127,1031,4,1:09.70,出閘僅屬一般。接近八百米處時被外閃的「英雄豪邁」帶出較外疊之際受阻礙。
2026/06/27,1,1200米,好地,10,11,鼓浪高升(J479),霍宏聲,伍鵬志,123,1108,14,1:09.92,自大外檔出閘僅屬一般，其後於早段在馬群之後切入。
2026/06/27,1,1200米,好地,11,14,太行美景(J314),黃智弘,沈集成,114,1125,8,1:09.95,出閘緩慢。跑離七百米處時開始搶口，收慢避開「鑽得勝」。接近二百五十米處時在雙雙略為斜跑的「鑽得勝」與「萬事得意」之間未能望空之際收慢。其後在一段短途程上略為難以望空。
2026/06/27,1,1200米,好地,12,5,洛河(J308),袁幸堯,丁冠豪,123,1184,2,1:10.14,接近九百米處時內閃，觸碰內欄。見習騎師袁幸堯表示，坐騎出閘笨拙及失地。她說，坐騎因而在陣上居於較賽前部署為後的位置，在居此位置下不合發揮。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/06/27,1,1200米,好地,13,1,金風萬里(K150),田泰安,桂福特,135,1146,6,1:10.19,出閘僅屬一般。田泰安表示，坐騎走勢欠順，中段沿途未能穩定走勢。他說，坐騎因而在直路上未能以勁勢衝刺。練馬師桂福特告知小組，此駒於是賽前的表現令他滿意，而他未能就此駒令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。小組認為與上仗相比，「金風萬里」今仗的表現令人失望。「金風萬里」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026/06/27,1,1200米,好地,14,7,後無來者(K049),莫雷拉,方嘉柏,131,1061,11,1:11.50,賽後立即接受獸醫檢查，發現此駒心律不正常。「後無來者」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026/06/27,2,1200米,好地,1,12,朗日雪峰(J187),莫雷拉,方嘉柏,124,1259,1,1:08.94,賽後須抽取樣本檢驗。
2026/06/27,2,1200米,好地,2,1,新力驕(J223),潘頓,蘇偉賢,135,1167,12,1:09.27,自外檔出閘後於早段在馬群之後切入。趨近八百米處時開始搶口，收慢避開「鄉村樂韻」。四百五十米處至二百米處之間受困而未能望空。賽後須抽取樣本檢驗。
2026/06/27,2,1200米,好地,3,2,鄉村樂韻(H436),艾兆禮,蔡約翰,134,1175,5,1:09.31,跑了一段短途程後受「八里旺」嚴重擠迫，當時「八里旺」向外斜跑避開「本能」。跑離九百米處時收慢避開「本能」。
2026/06/27,2,1200米,好地,4,7,銳一(J037),梁家俊,桂福特,130,1074,8,1:09.47,跑了一段短途程後在被「紅海風帆」帶向外跑之際收慢避開「花香月明」。
2026/06/27,2,1200米,好地,5,13,東方福寶(K115),潘明輝,姚本輝,116,1107,14,1:09.50,無特別報告。
2026/06/27,2,1200米,好地,6,11,星之願(J480),布浩榮,廖康銘,124,1042,11,1:09.50,四百米處至二百五十米處之間難以望空。
2026/06/27,2,1200米,好地,7,10,建測精英(K198),布文,黎昭昇,126,1129,7,1:09.54,出閘僅屬一般，跑了一段短途程後收慢避開「紅海風帆」。
2026/06/27,2,1200米,好地,8,14,常多笑(J538),巴度,沈集成,116,1047,2,1:10.01,無特別報告。
2026/06/27,2,1200米,好地,9,5,花香月明(K276),奧爾民,韋達,132,1113,9,1:10.01,無特別報告。
2026/06/27,2,1200米,好地,10,9,快樂寶寶(J545),艾道拿,巫偉傑,126,1047,10,1:10.22,艾道拿因於跑離九百米處時造成干擾而承認一項不小心策騎（見「八里旺」）。大部分途程在沒有遮擋下走外疊。練馬師巫偉傑確認，他曾指示艾道拿讓此駒上前，因為此駒近仗未能以勁勢衝刺，而他認為此駒是日佩戴羊毛面箍，加上屬均速馬，佔取更為靠前的位置將有利發揮。
2026/06/27,2,1200米,好地,11,4,紅海風帆(H347),黃寶妮,文家良,125,1179,6,1:10.23,起步後不久嚴重受擠迫。見習騎師黃寶妮表示，她獲指示讓坐騎領放，但坐騎於起步後不久受干擾，導致她未能做到這點。她說，坐騎大部分途程在沒有遮擋下走大外疊，其後在直路上墮退。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告，同時發現此駒右後腿擦傷。
2026/06/27,2,1200米,好地,12,6,同有運(H349),鍾易禮,伍鵬志,129,1064,13,1:10.93,跑離九百米處轉彎時失去平衡，走較外疊。
2026/06/27,2,1200米,好地,13,8,八里旺(J243),希威森,鄭俊偉,129,1253,4,1:11.75,起步後不久被「本能」碰撞，當時「本能」向外斜跑，其後被騎師修正。艾道拿（「快樂寶寶」）承認一項不小心策騎〔賽事規例第100(1)條〕，事緣他於跑離九百米處時容許坐騎在尚未帶離「八里旺」下向內移入，導致「八里旺」在受擠迫之際勒避，同時在向外斜跑時在踢中「快樂寶寶」的後蹄之際失蹄，進一步造成「本能」在「八里旺」與「常多笑」之間受擠迫之際須勒避。考慮了艾道拿在本季餘下時間有已確認的策騎聘約，小組依照慣常做法，判艾道拿罰款三萬五千元，以代替停賽一個賽馬日。在衡量判罰輕重時，小組裁定艾道拿的不小心策騎程度屬第二級，以及影響情況屬第二級，也考慮了他的甚佳策騎出賽紀錄。希威森表示，坐騎於起步後不久受擠迫，跑離九百米處時勒避，直路上未能以勁勢衝刺。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告，同時發現此駒左前腿擦傷。
