日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/03/11,1,1000米,好地至快地,1,1,風采人生(J366),霍宏聲,方嘉柏,135,1151,9,0:56.63,接近九百米處時發生碰撞。賽後須抽取樣本檢驗。
2026/03/11,1,1000米,好地至快地,2,9,銀亮濠俠(J532),鍾易禮,徐雨石,125,1085,11,0:56.81,接近一百米處時在被「皇金合」帶向外跑之際與「喆喆友福」互相觸碰。賽後須抽取樣本檢驗。
2026/03/11,1,1000米,好地至快地,3,6,皇金合(K099),金誠剛,丁冠豪,131,1194,12,0:56.84,金誠剛因於接近二百米處時造成干擾而承認一項不小心策騎（見「辣得金」）。
2026/03/11,1,1000米,好地至快地,4,8,喆喆友福(J345),潘頓,沈集成,129,1078,8,0:56.90,起步後不久與「機械騎士」雙雙斜跑，因而與該駒互相碰撞。接近九百米處時被「機械騎士」碰撞，當時「機械騎士」被「辣得金」略為帶向外跑。接近一百米處時被碰撞。大部分途程在沒有遮擋下走外疊。
2026/03/11,1,1000米,好地至快地,5,7,機械騎士(H464),田泰安,文家良,131,1099,7,0:57.07,出閘笨拙，其後不久與「喆喆友福」雙雙斜跑，因而與該駒互相碰撞。接近九百米處時被略為帶向外跑及被碰撞。
2026/03/11,1,1000米,好地至快地,6,10,謙謙君子(G352),蔡明紹,葉楚航,118,1059,5,0:57.09,起步時發生碰撞。接近八百米處時一度受擠迫。四百米處至三百米處之間在移至「風采人生」外側之際難以望空。
2026/03/11,1,1000米,好地至快地,7,5,辣得金(J087),布文,巫偉傑,132,1121,6,0:57.12,出閘僅屬一般。金誠剛（「皇金合」）承認一項不小心策騎〔賽事規例第100(1)條〕，事緣於接近二百米處時，他容許坐騎在尚未帶離「辣得金」下向內斜跑，導致「辣得金」受擠迫及須勒避。經評定金誠剛的不小心策騎程度屬第一級，以及影響情況屬第二級，並且考慮了他的甚佳策騎紀錄後，小組裁定適當的處罰為予以譴責。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,1,1000米,好地至快地,8,4,獵寶勤(J304),麥文堅,蔡約翰,133,1055,4,0:57.19,起步時發生碰撞。
2026/03/11,1,1000米,好地至快地,9,2,一鹿歡騰(J002),巴度,告東尼,133,1100,1,0:57.37,躍出時發生碰撞。接近九百米處時在被「威德勇士」碰撞之際失去平衡。
2026/03/11,1,1000米,好地至快地,10,12,天火同心(J259),楊明綸,韋達,115,1169,10,0:57.79,接近九百米處時在移至「風采人生」後方之際向內斜跑，收慢避開該駒。楊明綸表示，他未獲發具體的策騎指示，但當居於坐騎內側的數駒展現甚快前速，以及他擔心他將未能為坐騎取得遮擋時，他選擇讓坐騎於早段留後競跑，以免多走腳程。
2026/03/11,1,1000米,好地至快地,11,11,威德勇士(J385),巫顯東,鄭俊偉,115,1061,2,0:57.85,躍出時發生碰撞。接近九百米處時，「獵寶勤」（麥文堅）在尚未充分帶離下向內移入，導致「鼓浪高升」被帶向內跑壓向此駒，此駒因而向內斜跑避開「鼓浪高升」，並在與「一鹿歡騰」互相觸碰之際失去平衡。小組告誡麥文堅於轉換跑線時須確保已帶離兩個馬位。接近八百米處時受擠迫。
2026/03/11,1,1000米,好地至快地,12,3,鼓浪高升(J479),周俊樂,伍鵬志,131,1094,3,0:57.88,接近九百米處時與「威德勇士」互相觸碰。趨近八百米處時在「威德勇士」與「謙謙君子」之間受擠迫之際收慢，當時「謙謙君子」被「機械騎士」（田泰安）帶向內跑，其後向內斜跑避開該駒。儘管小組認為田泰安已修正坐騎，但仍告誡他須加倍小心。周俊樂表示，坐騎如預期般居馬群後列，其後在直路上難以追前，他將此歸因於今仗在C+3賽道上競逐。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,2,1200米,好地至快地,1,8,幸運愉快(K064),潘明輝,巫偉傑,122,1102,10,1:09.46,大部分途程在沒有遮擋下走外疊。賽後須抽取樣本檢驗。
2026/03/11,2,1200米,好地至快地,2,6,你知我得(H278),巴度,姚本輝,124,1163,6,1:09.53,賽後須抽取樣本檢驗。
2026/03/11,2,1200米,好地至快地,3,2,星運少爵(H459),奧爾民,方嘉柏,129,1186,1,1:09.70,奧爾民表示，坐騎自最內檔出閘迅速，他能夠在毋須催策坐騎下佔取前列位置。賽後須抽取樣本檢驗。
2026/03/11,2,1200米,好地至快地,4,1,莊家班(L115),布文,沈集成,135,1051,9,1:10.07,跑了一段短途程後被向外斜跑的「爆竹」碰撞後軀，因而失去平衡。直路早段在移至「幸運愉快」外側之際內閃。
2026/03/11,2,1200米,好地至快地,5,9,爆竹(L065),蔡明紹,告東尼,122,1098,8,1:10.12,在跑馬地馬房內重新裝上左後蹄的蹄鐵，其後接受獸醫檢查，獸醫認為此駒適宜出賽。出閘僅屬一般。跑了一段短途程後向外斜跑，被碰撞及失去平衡。直路上在催策下走勢稚嫩。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」。
2026/03/11,2,1200米,好地至快地,6,4,皇帝英豪(J247),艾道拿,韋達,125,1063,12,1:10.14,無特別報告。
2026/03/11,2,1200米,好地至快地,7,3,川河型駒(J080),霍宏聲,游達榮,125,1077,2,1:10.16,無特別報告。
2026/03/11,2,1200米,好地至快地,8,11,精益大師(H134),班德禮,葉楚航,121,1107,3,1:10.27,班德禮報告，坐騎急於起步，因而出閘僅屬一般。他說，坐騎於接近一千米處趨近首個彎位時開始搶口，因而在靠近「川河型駒」的後蹄之際昂首。他又說，坐騎其後在中段沿途持續搶口，不願穩定走勢。
2026/03/11,2,1200米,好地至快地,9,12,魅力知福(K038),艾兆禮,蔡約翰,116,1138,11,1:10.41,自外檔出閘僅屬一般，早段在馬群之後切入。
2026/03/11,2,1200米,好地至快地,10,7,最感(L130),楊明綸,大衛希斯,124,1083,5,1:10.66,出閘笨拙，其後不久失蹄。
2026/03/11,2,1200米,好地至快地,11,10,前衛火影(K103),金誠剛,丁冠豪,121,1082,7,1:10.70,中段在移至「精益大師」之後以取得遮擋之際搶口。
2026/03/11,2,1200米,好地至快地,UR,5,鳳翼天翔(K404),田泰安,桂福特,124,1187,4,---,宣佈覆磅完畢前，小組曾考慮此駒是否未獲公平出閘。小組聽取了高級司閘員施百厲的證供後，確認此駒於開閘的同時以後足豎立，導致田泰安被拋下，而此駒則在鞍上無人下跑畢一圈。由於小組認為此宗事件與開閘同時發生，因此宣佈此駒為出賽馬匹。小組著令此駒必須連續多次試閘及格後，才可再次出賽。田泰安隨後接受首席醫療主任檢查，首席醫療主任認為他適宜履行餘下賽事的策騎聘約。
2026/03/11,3,1650米,好地至快地,1,11,喜馬(K347),巴度,方嘉柏,120,1086,9,1:39.71,自外檔躍出時向內斜跑，導致巴度須修正坐騎。早段在馬群之後切入。自八百米處起在沒有遮擋下走大外疊。賽後須抽取樣本檢驗。
2026/03/11,3,1650米,好地至快地,2,8,八心之星(K536),梁家俊,韋達,123,1105,7,1:39.79,接近千三米處時受擠迫。直路上內閃，難以被力策。梁家俊於末段在坐騎靠近「大數據」之際未能用鞭。接近五十米處時與「大數據」雙雙斜跑，因而與該駒互相輕微觸碰。梁家俊報告，坐騎出閘緩慢，因而居於較賽前部署為後的位置。賽後須抽取樣本檢驗。
2026/03/11,3,1650米,好地至快地,3,9,大數據(H230),田泰安,姚本輝,122,1139,8,1:39.81,接近千三米處時在「追風」與「極速滿貫」之間受擠迫，當時「極速滿貫」在被騎師奧爾民修正之際向內斜跑。接近五十米處時與「八心之星」雙雙斜跑，因而與該駒互相輕微觸碰。趨近終點時在「喜馬」與「八心之星」之間緊迫競跑，當時「八心之星」在持續內閃之際向內斜跑。
2026/03/11,3,1650米,好地至快地,4,5,奮鬥輝煌(J236),麥文堅,游達榮,128,1067,6,1:39.94,大部分途程在沒有遮擋下走外疊。賽後須抽取樣本檢驗。
2026/03/11,3,1650米,好地至快地,5,3,香港神駒(J266),布文,沈集成,133,1041,1,1:39.99,躍出時向外斜跑，與「紫荊歡呼」互相觸碰。
2026/03/11,3,1650米,好地至快地,6,6,追風(J227),潘明輝,羅富全,128,1132,5,1:40.01,起步時發生碰撞。接近千三米處時受擠迫及觸碰內欄。
2026/03/11,3,1650米,好地至快地,7,4,康昌之星(K003),霍宏聲,廖康銘,132,1127,12,1:40.02,自大外檔出閘後於早段在馬群之後切入。接近千三米處時向內斜跑，觸碰內欄，在向外移離內欄之際與「八心之星」互相觸碰。接近三百米處時在「追風」之後一度受困而未能望空。
2026/03/11,3,1650米,好地至快地,8,2,紫荊歡呼(J139),班德禮,大衛希斯,134,1188,2,1:40.29,起步時發生碰撞。班德禮表示，坐騎於入直路後瞬即受催策，其後衝刺僅屬一般。賽後立即接受獸醫檢查，發現此駒患有「喘鳴症」，而此駒過往也有此毛病報告。
2026/03/11,3,1650米,好地至快地,9,7,極速滿貫(G277),奧爾民,黎昭昇,128,1047,10,1:40.30,接近千三米處時向內斜跑，與「大數據」互相觸碰，其後在被騎師修正之際急促向外斜跑。
2026/03/11,3,1650米,好地至快地,10,12,陸小鳳(K282),希威森,葉楚航,118,1021,3,1:40.66,希威森未能就坐騎在直路上未能追前提供解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,3,1650米,好地至快地,11,10,大浪園田(K209),金誠剛,丁冠豪,121,1080,4,1:40.75,出閘笨拙，急促向外斜跑，與「追風」互相觸碰。早段居領放馬外側之際搶口。
2026/03/11,3,1650米,好地至快地,12,1,揀馬之皇(K397),周俊樂,巫偉傑,133,1003,11,1:40.94,接近千三米處時在被向外斜跑的「極速滿貫」帶出較外疊之際受阻礙。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,4,1650米,好地至快地,1,6,知道穩勝(K406),希威森,沈集成,122,1065,5,1:39.95,起步後不久向內斜跑，被碰撞。賽後須抽取樣本檢驗。
2026/03/11,4,1650米,好地至快地,2,10,時間寶(H403),金誠剛,姚本輝,118,1156,1,1:40.14,賽後須抽取樣本檢驗。
2026/03/11,4,1650米,好地至快地,3,1,浪漫老撾(G476),周俊樂,巫偉傑,133,1190,9,1:40.19,周俊樂表示，他並無獲發具體的策騎指示。他說，坐騎出閘迅速，而賽事早段步速較標準時間為慢，他遂選擇佔取前列位置。
2026/03/11,4,1650米,好地至快地,4,7,隨緣得勝(K223),田泰安,游達榮,121,1061,12,1:40.24,自大外檔出閘後於早段在馬群之後切入。
2026/03/11,4,1650米,好地至快地,5,3,佳福駒(G230),梁家俊,文家良,130,1238,3,1:40.53,起步後不久向外斜跑，被碰撞。
2026/03/11,4,1650米,好地至快地,6,11,滿洛城(K374),班德禮,大衛希斯,117,1028,11,1:40.70,自外檔出閘後於早段在馬群之後切入。直路上內閃。
2026/03/11,4,1650米,好地至快地,7,4,活力精神(K039),潘頓,羅富全,129,1100,4,1:40.74,起步後不久在雙雙斜跑的「佳福駒」與「知道穩勝」之間嚴重受擠迫。接近九百米處時開始搶口，在收慢避開「佳福駒」之際向外斜跑，與「綻放的心」互相觸碰。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,4,1650米,好地至快地,8,8,寶成智星(J135),鍾易禮,丁冠豪,118,1092,2,1:40.77,直路彎及直路上外閃。
2026/03/11,4,1650米,好地至快地,9,9,綻放的心(K055),楊明綸,韋達,118,1037,7,1:40.91,接近九百米處時被「活力精神」碰撞。
2026/03/11,4,1650米,好地至快地,10,12,駟跑得(G095),艾兆禮,廖康銘,117,1180,6,1:40.95,趨近千三米處時向內斜跑，觸碰內欄。艾兆禮報告，坐騎在直路上對催策反應僅屬一般。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,4,1650米,好地至快地,11,5,趣盈(K539),巴度,葉楚航,122,1012,10,1:41.25,自外檔出閘後於早段在馬群之後切入。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,4,1650米,好地至快地,12,2,鬆啲(K384),布文,呂健威,133,1057,8,1:41.36,大部分途程在沒有遮擋下走外疊。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/11,5,1200米,好地至快地,1,4,俏眼光(L003),麥文堅,蔡約翰,128,1108,9,1:09.20,賽後須抽取樣本檢驗。
2026/03/11,5,1200米,好地至快地,2,10,佛亮老撾(K174),田泰安,桂福特,120,1127,5,1:09.31,起步後不久在「安康萬里」與「盈妍威楓」之間嚴重受擠迫之際勒避，當時「盈妍威楓」向外斜跑避開「鈁糖武士」，而儘管騎師已努力阻止，但「鈁糖武士」仍向外斜跑。賽後須抽取樣本檢驗。
2026/03/11,5,1200米,好地至快地,3,2,寶進(K249),梁家俊,巫偉傑,134,1132,7,1:09.68,無特別報告。
2026/03/11,5,1200米,好地至快地,4,8,八駿福昇(K086),鍾易禮,告東尼,120,1169,10,1:09.71,無特別報告。
2026/03/11,5,1200米,好地至快地,5,1,安康萬里(J158),周俊樂,呂健威,133,1156,6,1:09.89,周俊樂報告，坐騎於起步後不久被大力碰撞，其後當居坐騎內側的數匹對手展現甚快前速時，他選擇讓坐騎於早段留後競跑以取得遮擋。<12/3/2026 獸醫報告增補> 獸醫報告，「安康萬里」於賽後翌晨右前腿不良於行。「安康萬里」必須通過獸醫檢驗後，才可再次出賽。
2026/03/11,5,1200米,好地至快地,6,3,天外迎天(J490),潘頓,大衛希斯,129,1139,1,1:09.96,起步後不久與「星火燎原」雙雙斜跑，因而與該駒互相觸碰。潘頓表示，坐騎在直路上衝刺僅屬一般，他認為坐騎不願在其他馬匹之間競跑。賽後立即接受獸醫檢查，內窺鏡檢查顯示此駒的氣管內有很多血。「天外迎天」必須通過獸醫檢驗後，才可再次出賽。賽後須抽取樣本檢驗。
2026/03/11,5,1200米,好地至快地,7,5,鈁糖武士(G016),艾道拿,方嘉柏,126,1093,3,1:10.07,艾道拿表示，坐騎居於較賽前部署為後的位置，在直路上難以追前。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
