日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/03/15,1,1650米,好地,1,13,上市魅力(H196),田泰安,蘇偉賢,115,1127,7,1:39.37,賽後須抽取樣本檢驗。
2026/03/15,1,1650米,好地,2,9,大利好運(H234),布文,蔡約翰,126,1093,1,1:39.60,賽後須抽取樣本檢驗。
2026/03/15,1,1650米,好地,3,14,樂矚心機(J453),楊明綸,鄭俊偉,115,1095,12,1:40.01,自外檔出閘笨拙及與「美麗歡聲」互相觸碰，早段在馬群之後切入。
2026/03/15,1,1650米,好地,4,12,幻影旋風(J271),金誠剛,丁冠豪,122,1095,6,1:40.15,賽後須抽取樣本檢驗。
2026/03/15,1,1650米,好地,5,7,富裕君子(H447),麥文堅,方嘉柏,129,999,5,1:40.22,趨近千五米處時受阻礙。
2026/03/15,1,1650米,好地,6,1,悠悠乾坤(K059),希威森,桂福特,134,1047,10,1:40.28,無特別報告。
2026/03/15,1,1650米,好地,7,2,魔法速遞(H290),周俊樂,文家良,131,1112,8,1:40.40,大部分途程在沒有遮擋下走外疊。
2026/03/15,1,1650米,好地,8,10,美麗多盈(G477),鍾易禮,告東尼,122,1126,4,1:40.40,趨近千五米處時受阻礙。
2026/03/15,1,1650米,好地,9,4,海洋帝君(K230),奧爾民,徐雨石,131,1028,2,1:41.06,趨近千五米處時收慢避開「天火同德」（班德禮），當時「天火同德」在尚未帶離下向內移入。小組譴責班德禮。在此宗事件中，此駒在收慢之際向外斜跑，導致「美麗多盈」、「富裕君子」及「桃花多」均在被帶出較外疊之際受阻礙。早段搶口。
2026/03/15,1,1650米,好地,10,5,桃花多(E488),潘頓,鄭俊偉,130,1097,11,1:41.34,自外檔出閘後於早段在馬群之後切入。趨近千五米處時在被帶出較外疊之際收慢。早段搶口。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
