日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/02/01,1,1000米,好地,1,8,八仟好運(K582),麥文堅,蔡約翰,127,1113,7,0:57.36,賽後須抽取樣本檢驗。
2026/02/01,1,1000米,好地,2,9,文采風流(L021),奧爾民,蘇偉賢,127,1074,6,0:57.41,出閘僅屬一般，其後不久在「萬里雲」與向內斜跑的「八仟好運」之間受擠迫之際收慢。四百五十米處至三百五十米處之間在「展雄威」之後受困。其後移至「展雄威」內側，三百米處至一百五十米處之間在移至「燊輝之星」及「拉合爾」內側以推進之際難以望空。賽後須抽取樣本檢驗。
2026/02/01,1,1000米,好地,3,10,銀刺勇士(J043),黃智弘,方嘉柏,122,1120,10,0:57.51,賽後須抽取樣本檢驗。
2026/02/01,1,1000米,好地,4,12,拉合爾(K043),巴度,黎昭昇,122,1151,1,0:57.52,賽後被發現流鼻血。「拉合爾」必須試閘及格，並且通過獸醫檢驗後，才可再次出賽。
2026/02/01,1,1000米,好地,5,14,萬里雲(K279),潘明輝,賀賢,118,1099,5,0:57.56,出閘僅屬一般，其後不久與「文采風流」互相觸碰。
2026/02/01,1,1000米,好地,6,7,應龍飛影(L083),田泰安,伍鵬志,127,1166,12,0:57.69,直路上受催策時內閃，難以被力策。
2026/02/01,1,1000米,好地,7,4,燊輝之星(L067),鍾易禮,告東尼,125,1219,2,0:57.74,起步時向外斜跑，被碰撞。接近四百米處時內閃，因而失蹄及失去平衡。
2026/02/01,1,1000米,好地,8,13,運籌帷幄(K090),希威森,桂福特,119,1104,14,0:57.74,最後四百米受困，未能被力策至終點。末段被「種得好」碰撞後軀，當時「種得好」在推進至此駒與「致力之城」之間的窄位之際向外斜跑。
2026/02/01,1,1000米,好地,9,3,致力之城(L210),潘頓,大衛希斯,127,1064,8,0:57.75,潘頓報告，是賽初出的坐騎於陣上走勢稚嫩，末段衝刺僅屬一般。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。賽後須抽取樣本檢驗。
2026/02/01,1,1000米,好地,10,6,綠茵明珠(K460),何澤堯,呂健威,127,1164,11,0:57.75,出閘笨拙及失地。最後五百米受困而未能望空，因而未能施為。
2026/02/01,1,1000米,好地,11,2,種得好(K579),周俊樂,文家良,125,1145,13,0:57.76,趨近一百五十米處時推進至「運籌帷幄」與「致力之城」之間的窄位，接近五十米處時在被「致力之城」帶向外跑之際與「運籌帷幄」互相觸碰。
2026/02/01,1,1000米,好地,12,11,辣得爽利(L086),蔡明紹,巫偉傑,127,1189,9,0:57.95,出閘緩慢。最後五十米在「應龍飛影」之後受困，因而未能被力策至終點。
2026/02/01,1,1000米,好地,13,1,展雄威(J405),布文,廖康銘,135,1198,4,0:57.95,起步後不久在被「發財金鞍」碰撞之際失去平衡。布文未能就坐騎令人失望的表現提供任何解釋。練馬師廖康銘表示，他滿意此駒在是賽前的表現，但未能就此駒令人失望的表現提供任何解釋。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/02/01,1,1000米,好地,14,5,發財金鞍(L090),巫顯東,丁冠豪,125,1106,3,0:58.10,躍出時在被向外斜跑的「燊輝之星」碰撞之際失去平衡。
2026/02/01,2,1200米,好地,1,9,盛勢威楓(K111),潘明輝,賀賢,130,1076,9,1:09.34,跑了一段短途程後與「艾彼奧」雙雙斜跑，因而與該駒互相觸碰。賽後須抽取樣本檢驗。
2026/02/01,2,1200米,好地,2,1,果然僥倖(H252),紀仁安,蘇偉賢,135,1081,1,1:09.47,賽後須抽取樣本檢驗。
2026/02/01,2,1200米,好地,3,4,駿馬之星(J368),何澤堯,羅富全,133,1090,3,1:09.64,轉直路彎時外閃。
2026/02/01,2,1200米,好地,4,7,銳一(J037),田泰安,桂福特,132,1083,2,1:09.70,出閘僅屬一般。跑離九百米處時內閃，於觸碰內欄時失去平衡。賽後須抽取樣本檢驗。
2026/02/01,2,1200米,好地,5,6,志醒大將(K138),潘頓,沈集成,132,1131,6,1:09.80,出閘僅屬一般。趨近四百米處時一度受困而未能望空。趨近三百米處時在一段途程上在推進至「駿馬之星」與「艾彼奧」之間的窄位之際在該兩駒之間緊迫競跑。
