日期,場次,路程,場地狀況,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,完成時間,賽後馬匹狀況
2026/03/08,1,1000米,好地,1,8,日出東方(K552),梁家俊,羅富全,127,1175,4,0:56.87,躍出時與「領航多福」雙雙斜跑，因而與該駒互相碰撞。賽後須抽取樣本檢驗。
2026/03/08,1,1000米,好地,2,11,燊輝之星(L067),鍾易禮,告東尼,122,1198,7,0:56.96,起步後不久發生碰撞。接近二百米處時在一段短途程上在「日出東方」與略為向內斜跑的「馬運高」之間的窄位競跑。賽後須抽取樣本檢驗。
2026/03/08,1,1000米,好地,3,13,英雄豪邁(G394),巴度,徐雨石,120,1056,11,0:57.08,最後二百米在催策下外閃。過了五十米處後推進至「日出東方」內側以望空，繼而於趨近終點時在「日出東方」向內斜跑之際受妨礙。
2026/03/08,1,1000米,好地,4,7,馬運高(L175),潘明輝,文家良,127,1224,9,0:57.17,潘明輝表示，坐騎能夠領放，但在直路上受催策時開始走勢稚嫩，當他於接近二百米處對坐騎用鞭時，坐騎急促向內斜跑，導致坐騎失去平衡，他因而須停止催策及修正坐騎。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。賽後須抽取樣本檢驗。
2026/03/08,1,1000米,好地,5,2,領航多福(L201),金誠剛,鄭俊偉,127,1048,3,0:57.19,躍出時與「日出東方」雙雙斜跑，因而與該駒互相碰撞。最後二百米在催策下外閃。趨近終點時在被「英雄豪邁」帶向內跑之際受阻礙。
2026/03/08,1,1000米,好地,6,1,幸運二十(K392),霍宏聲,丁冠豪,133,1052,10,0:57.20,無特別報告。
2026/03/08,1,1000米,好地,7,12,天下寵兒(J359),周俊樂,廖康銘,121,1111,13,0:57.23,躍出時與「經典多寶」雙雙斜跑，因而與該駒互相碰撞。
2026/03/08,1,1000米,好地,8,9,佳運發(E435),黃智弘,黎昭昇,123,1180,6,0:57.38,接近二百米處時收慢，移至「領航多福」內側以繼續望空。趨近終點時在被「領航多福」帶向內跑之際受阻礙。
2026/03/08,1,1000米,好地,9,4,賀龍飛翔(K345),奧爾民,賀賢,127,1145,14,0:57.46,過了五百米處後在受「天下寵兒」擠迫之際收慢，當時「天下寵兒」被「經典多寶」（艾兆禮）帶向外跑，而「經典多寶」則在走勢稚嫩及外閃之際斜跑。儘管小組認為「經典多寶」的走勢有份造成此宗事件，但仍譴責艾兆禮及告誡他須作出更大努力阻止坐騎在尚未帶離下斜跑。
2026/03/08,1,1000米,好地,10,6,綠茵明珠(K460),何澤堯,呂健威,127,1165,5,0:57.58,起步後不久在與「日出東方」互相觸碰之際失去平衡。沿途外閃。何澤堯報告，他認為坐騎若下仗增程角逐將有利發揮。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/08,1,1000米,好地,11,10,幸運勝利(L073),楊明綸,大衛希斯,125,1236,8,0:57.61,出閘僅屬一般，其後不久在被「燊輝之星」碰撞之際失去平衡。
2026/03/08,1,1000米,好地,12,14,運籌帷幄(K090),希威森,桂福特,117,1091,1,0:57.76,無特別報告。
2026/03/08,1,1000米,好地,13,3,經典多寶(L212),艾兆禮,蘇偉賢,127,1040,12,0:58.22,抵達起步點後被發現口部有血，其後接受獸醫檢查，獸醫認為此駒適宜出賽。躍出時與「天下寵兒」雙雙斜跑，因而與該駒互相碰撞。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
2026/03/08,1,1000米,好地,WV-A,5,風騷大師(K556),蔡明紹,葉楚航,127,---,---,---,離開亮相圈時滑倒。小組按照獸醫意見著令此駒退出此賽。「風騷大師」必須經賽前巡行測試及格，並且通過獸醫檢驗後，才可再次出賽。
2026/03/08,2,1400米,好地,1,11,劍無情(J535),艾兆禮,告東尼,119,1178,13,1:22.50,賽後須抽取樣本檢驗。
2026/03/08,2,1400米,好地,2,6,志醒大將(K138),潘頓,沈集成,129,1120,7,1:22.50,出閘笨拙及失地。賽後須抽取樣本檢驗。
2026/03/08,2,1400米,好地,3,1,全神貫注(H465),麥文堅,姚本輝,135,1110,1,1:22.51,賽後須抽取樣本檢驗。
2026/03/08,2,1400米,好地,4,3,金鑽精靈(J397),布文,韋達,132,1171,10,1:22.64,起步後不久發生碰撞。接近一千米處時收慢避開「劍無情」（艾兆禮），當時該駒在尚未充分帶離下向內移入。小組告誡艾兆禮須加倍小心。布文表示，賽事早段步速較標準時間為慢，坐騎因而居於較他預期為前的位置。
2026/03/08,2,1400米,好地,5,7,熊噹噹(H002),奧爾民,蘇偉賢,129,1241,4,1:22.76,趨近一千米處時被「星之願」過頭後開始搶口，其後在一段短途程上在「凱旋幸運」內側緊迫競跑。
2026/03/08,2,1400米,好地,6,5,焦點(H173),周俊樂,游達榮,129,1067,6,1:22.77,無特別報告。
2026/03/08,2,1400米,好地,7,12,領航傳祺(G126),潘明輝,鄭俊偉,117,1163,3,1:22.86,出閘僅屬一般。
2026/03/08,2,1400米,好地,8,9,快樂老撾(J115),霍宏聲,桂福特,126,1206,8,1:22.86,早段及中段沿途搶口，接近一千米處時在一段途程上在「領航傳祺」與「旋風傳奇」之間處於窘境之際昂首。霍宏聲表示，坐騎居於後列，他滿意坐騎在直路上的衝刺。
2026/03/08,2,1400米,好地,9,8,威威父子(H419),巴度,巫偉傑,127,990,2,1:22.89,出閘緩慢。接近三百五十米處時收慢，移至「全神貫注」外側以繼續望空。
2026/03/08,2,1400米,好地,10,13,工程小子(K244),楊明綸,呂健威,117,1125,14,1:22.98,楊明綸報告，他獲指示為坐騎尋找後列有遮擋的位置。他說，坐騎於早段沿途在他嘗試遵從該等策騎指示時搶口。他又說，他因而須讓坐騎展步上前，以免多走腳程。他說，坐騎於接近八百米處時超越「劍無情」後在領放下過於搶口，以較他所願為快的步速放頭。
2026/03/08,2,1400米,好地,11,4,星之願(J480),希威森,廖康銘,131,1027,5,1:23.00,趨近九百米處時在「金鑽精靈」內側受緊迫之際搶口。四百米至三百五十米處之間受困而未能望空。
2026/03/08,2,1400米,好地,12,10,凱旋幸運(H409),艾道拿,賀賢,135,1076,9,1:23.07,艾道拿表示，坐騎大部分途程在沒有遮擋下走外疊，不利發揮，因而在直路上未能以勁勢衝刺。賽後立即接受獸醫檢查，並無發現任何明顯異常之處。
